state,district,sex,age,id,hhid,psid,female,medwork,rural,hhweight,stateName
9,15,1,19,Q1V171119110103,711191101,71119110103,0,1,0,0.3000198,Uttar Pradesh
23,43,2,35,Q3V151475120304,514751203,51475120304,1,0,1,0.27260366,Madhya Pradesh
8,4,2,22,Q1V173458110210,734581102,73458110210,1,0,0,0.57358825,Rajasthan
19,16,1,63,Q1V172799110201,727991102,72799110201,0,0,0,1.5364283,West Bengal
27,34,2,29,Q1V157875120204,578751202,57875120204,1,1,1,0.67898363,Maharashtra
5,11,2,25,Q2V177487130213,774871302,77487130213,1,0,0,0.10891331,Uttrakhand
33,25,2,34,Q1V159474220101,594742201,59474220101,1,0,1,1.7377949,Tamil Nadu
8,29,2,16,Q4V172195110106,721951101,72195110106,1,0,0,0.29637635,Rajasthan
27,24,2,38,Q3V152014220202,520142202,52014220202,1,0,1,1.2438461,Maharashtra
24,16,1,47,Q3V170280110101,702801101,70280110101,0,1,0,1.1264477,Gujarat
32,4,2,65,Q2V179114140202,791141402,79114140202,1,0,0,0.62760419,Kerala
24,14,1,21,Q4V155667210104,556672101,55667210104,0,1,1,1.886867,Gujarat
6,9,2,22,Q3V154307120102,543071201,54307120102,1,0,1,0.057436448,Haryana
23,15,2,32,Q4V171211120204,712111202,71211120204,1,1,0,0.24014169,Madhya Pradesh
8,4,1,45,Q4V159934210101,599342101,59934210101,0,1,1,5.6868596,Rajasthan
27,32,1,38,Q1V151729130201,517291302,51729130201,0,0,1,3.3123865,Maharashtra
36,9,2,25,Q2V155007120102,550071201,55007120102,1,1,1,0.10533132,Telangana
8,1,2,40,Q3V174385130202,743851302,74385130202,1,1,0,0.4256939,Rajasthan
15,2,1,45,Q1V152666120101,526661201,52666120101,0,1,1,0.071322151,Mizoram
22,20,1,22,Q3V153574120103,535741201,53574120103,0,1,1,0.41288444,Chhattisgarh
27,24,1,23,Q1V154697120104,546971201,54697120104,0,0,1,0.67510158,Maharashtra
16,1,1,27,Q3V151835110102,518351101,51835110102,0,1,1,0.039560325,Tripura
7,2,2,31,Q1V150772120103,507721201,50772120103,1,0,1,0.03584601,Delhi
