"","psid","state","stateName","district","distcode","age","sex","female","rural","medwork","hhsize","comb_wt","mpce","logRsincpc"
"2036",52062110104,"03","Punjab","18","0318",16,2,"Female","Rural",0,4,20121.400390625,1500,7.31322050094604
"2038",72620140206,"31","Lakshadweep","01","3101",25,2,"Female","Urban",0,13,260.619995117188,2307.6923828125,7.74400329589844
"2042",54283220201,"02","Himachal Pradesh","05","0205",16,1,"Male","Rural",0,1,7298.68017578125,3800,8.24275588989258
"2043",72618110105,"02","Himachal Pradesh","09","0209",24,2,"Female","Urban",0,5,2310.84008789062,3000,8.00636768341064
"2050",72691120203,"11","Sikkim","03","1103",19,1,"Male","Urban",0,5,915.710021972656,4400,8.38935947418213
"2052",50276110103,"33","Tamil Nadu","06","3306",25,1,"Male","Rural",1,8,3265.3349609375,1687.5,7.43100357055664
"2054",72983120104,"01","Jammu & Kashmir","02","0102",28,2,"Female","Urban",0,5,680.25,1600,7.37775897979736
"2057",57080120105,"24","Gujarat","02","2402",16,2,"Female","Rural",0,7,1599.125,1714.28576660156,7.44675159454346
"2076",59559120105,"03","Punjab","15","0315",23,2,"Female","Rural",1,6,482.734985351562,1166.66662597656,7.06190586090088
"2080",79511140103,"09","Uttar Pradesh","04","0904",28,1,"Male","Urban",1,6,5341.81005859375,1666.66662597656,7.41858100891113
"2082",57998110104,"33","Tamil Nadu","13","3313",23,2,"Female","Rural",0,4,7241.02490234375,1350,7.20785999298096
"2083",79973120201,"08","Rajasthan","12","0812",25,1,"Male","Urban",1,3,5712.43505859375,5000,8.51719284057617
"2084",59817210103,"22","Chhattisgarh","24","2224",20,2,"Female","Rural",0,4,10867.4697265625,1875,7.53636407852173
"2086",52722110103,"21","Odisha","06","2106",25,1,"Male","Rural",1,4,11911.7451171875,1125,7.02553844451904
"2087",72950130701,"33","Tamil Nadu","31","3331",18,1,"Male","Urban",0,1,10441.9951171875,9835,9.19370269775391
"2091",56721110106,"04","Chandigarh","01","0401",21,2,"Female","Rural",0,6,153.25,1666.66662597656,7.41858100891113
"2098",51948110105,"10","Bihar","19","1019",19,2,"Female","Rural",0,5,2086.82495117188,900,6.80239486694336
"2103",57235210105,"08","Rajasthan","02","0802",20,1,"Male","Rural",0,6,28011.869140625,1833.33337402344,7.51389122009277
"2108",53125120203,"21","Odisha","07","2107",25,1,"Male","Rural",1,6,2165.8349609375,966.666687011719,6.87385368347168
"2110",72531130201,"05","Uttrakhand","05","0505",21,1,"Male","Urban",0,1,1422.81994628906,3000,8.00636768341064
"2115",77139110103,"33","Tamil Nadu","02","3302",27,2,"Female","Urban",1,3,10991.2353515625,6666.66650390625,8.80487537384033
"2117",77817130103,"29","Karnataka","05","2905",17,1,"Male","Urban",0,5,11279.615234375,1500,7.31322050094604
"2119",53192220104,"21","Odisha","14","2114",30,2,"Female","Rural",0,4,5526.80517578125,1000,6.90775537490845
"2123",50262210103,"32","Kerala","11","3211",27,1,"Male","Rural",1,5,27978.009765625,2400,7.78322410583496
"2126",75712110105,"03","Punjab","18","0318",27,2,"Female","Urban",0,6,11622.3896484375,2500,7.82404613494873
"2127",59123230103,"22","Chhattisgarh","26","2226",20,1,"Male","Rural",1,4,23522.220703125,1250,7.13089895248413
"2129",73666110202,"20","Jharkhand","12","2012",30,2,"Female","Urban",0,6,1469.88000488281,4833.33349609375,8.48329162597656
"2131",72717110103,"20","Jharkhand","19","2019",17,1,"Male","Urban",0,3,2162.82495117188,3000,8.00636768341064
"2133",55688110106,"01","Jammu & Kashmir","15","0115",28,1,"Male","Rural",1,6,2540.28491210938,1611.66662597656,7.38502407073975
"2140",52540220106,"03","Punjab","02","0302",20,2,"Female","Rural",0,7,6178.7451171875,2857.14282226562,7.95757722854614
"2144",51679210103,"35","A & N Island","02","3502",28,1,"Male","Rural",1,3,2686.34008789062,5000,8.51719284057617
"2145",74502110103,"08","Rajasthan","17","0817",20,1,"Male","Urban",0,5,2511.7548828125,3000,8.00636768341064
"2150",59714120407,"23","Madhya Pradesh","06","2306",20,2,"Female","Rural",0,8,3892.080078125,1000,6.90775537490845
"2155",75758120201,"01","Jammu & Kashmir","21","0121",25,1,"Male","Urban",1,3,3448.69506835938,5000,8.51719284057617
"2159",70545140202,"36","Telangana","10","3610",29,1,"Male","Urban",1,4,6230.52001953125,1625,7.39326286315918
"2165",51963130101,"27","Maharashtra","07","2707",27,1,"Male","Rural",1,4,41061.2890625,1125,7.02553844451904
"2167",56430130207,"22","Chhattisgarh","23","2223",20,2,"Female","Rural",0,8,25526.849609375,625,6.43775177001953
"2169",72608140108,"09","Uttar Pradesh","03","0903",25,1,"Male","Urban",1,10,1801.80004882812,1000,6.90775537490845
"2177",72785110104,"24","Gujarat","23","2423",19,2,"Female","Urban",0,6,432.665008544922,1166.66662597656,7.06190586090088
"2184",56080120203,"09","Uttar Pradesh","54","0954",20,1,"Male","Rural",1,4,2705.2900390625,1000,6.90775537490845
"2186",50713210103,"33","Tamil Nadu","32","3332",19,1,"Male","Rural",1,4,7526.31982421875,2062.5,7.63167428970337
"2189",55242120103,"16","Tripura","01","1601",18,1,"Male","Rural",0,3,388.755004882812,2666.66674804688,7.88858461380005
"2197",55009120203,"09","Uttar Pradesh","39","0939",18,1,"Male","Rural",0,3,2930.919921875,833.333312988281,6.72543382644653
"2198",59411120201,"10","Bihar","13","1013",22,1,"Male","Rural",1,3,14953.7802734375,1500,7.31322050094604
"2206",70392110103,"24","Gujarat","16","2416",18,1,"Male","Urban",0,4,12303.75,1750,7.46737098693848
"2208",79815140103,"09","Uttar Pradesh","01","0901",20,1,"Male","Urban",1,7,8671.1650390625,1428.57141113281,7.26443004608154
"2210",57497210104,"28","Andhra Pradesh","07","2807",23,1,"Male","Rural",0,4,24572.994140625,2625,7.87283611297607
"2211",50362230102,"03","Punjab","20","0320",28,2,"Female","Rural",0,4,20054.794921875,2425,7.79358673095703
"2213",73151110103,"24","Gujarat","25","2425",30,1,"Male","Urban",1,9,8186.27001953125,2777.77783203125,7.92940664291382
"2214",77975110103,"09","Uttar Pradesh","61","0961",17,1,"Male","Urban",0,6,5599.634765625,1333.33337402344,7.19543743133545
"2216",74123120203,"12","Arunachal Pradesh","03","1203",21,1,"Male","Urban",0,6,362.654998779297,2583.33325195312,7.85683584213257
"2228",72713110103,"08","Rajasthan","03","0803",26,1,"Male","Urban",0,5,13027.9697265625,3400,8.13153076171875
"2232",53365210102,"21","Odisha","12","2112",18,1,"Male","Rural",0,2,28823.28515625,3500,8.16051864624023
"2237",75746110104,"09","Uttar Pradesh","33","0933",16,1,"Male","Urban",0,7,14667.4150390625,3571.42846679688,8.18072128295898
"2238",59818230103,"21","Odisha","19","2119",17,1,"Male","Rural",0,4,52811.69140625,500,6.21460819244385
"2242",54617230102,"18","Assam","02","1802",30,2,"Female","Rural",0,6,37022.93359375,1800,7.49554204940796
"2249",75485120202,"29","Karnataka","21","2921",20,2,"Female","Urban",0,6,10503.419921875,5416.66650390625,8.59723567962646
"2250",51017120202,"23","Madhya Pradesh","05","2305",28,2,"Female","Rural",0,5,7212.66015625,900,6.80239486694336
"2251",73193110205,"27","Maharashtra","21","2721",20,2,"Female","Urban",0,6,12617.58984375,2500,7.82404613494873
"2256",75096120101,"10","Bihar","25","1025",29,1,"Male","Urban",1,3,2349.48510742188,1666.66662597656,7.41858100891113
"2264",74591120102,"05","Uttrakhand","13","0513",17,1,"Male","Urban",0,3,3857.90991210938,5000,8.51719284057617
"2267",53757230102,"34","Puducherry","04","3404",30,2,"Female","Rural",0,3,7543.14501953125,2666.66674804688,7.88858461380005
"2270",58514220208,"06","Haryana","21","0621",29,1,"Male","Rural",1,11,8116.2451171875,1000,6.90775537490845
"2273",75481140102,"29","Karnataka","18","2918",20,2,"Female","Urban",0,4,12706.51953125,2500,7.82404613494873
"2275",51621220104,"24","Gujarat","21","2421",18,2,"Female","Rural",0,4,4107.43505859375,500,6.21460819244385
"2276",73621120202,"19","West Bengal","15","1915",28,2,"Female","Urban",0,4,3763.28491210938,1250,7.13089895248413
"2277",59953110104,"33","Tamil Nadu","07","3307",23,2,"Female","Rural",0,4,4552.955078125,3145,8.05356884002686
"2279",75478120203,"12","Arunachal Pradesh","04","1204",18,1,"Male","Urban",0,5,219.880004882812,8100,8.99961948394775
"2283",75235110103,"32","Kerala","08","3208",23,1,"Male","Urban",0,4,4361.85986328125,3750,8.22951126098633
"2287",56208220104,"28","Andhra Pradesh","04","2804",16,1,"Male","Rural",0,5,17889.880859375,2000,7.60090255737305
"2289",50930120304,"23","Madhya Pradesh","10","2310",27,2,"Female","Rural",0,8,4858.77490234375,1000,6.90775537490845
"2292",70410120206,"22","Chhattisgarh","24","2224",21,1,"Male","Urban",0,6,6886.59521484375,1683.33337402344,7.42853116989136
"2294",51819230102,"28","Andhra Pradesh","07","2807",20,1,"Male","Rural",1,3,70343.7578125,1890,7.5443320274353
"2301",71079110204,"32","Kerala","13","3213",16,1,"Male","Urban",0,4,3613.1298828125,2500,7.82404613494873
"2303",56927210105,"29","Karnataka","13","2913",26,2,"Female","Rural",1,9,58039.1796875,611.111083984375,6.41527891159058
"2305",79953120202,"26","D & N Haveli","01","2601",27,2,"Female","Urban",0,4,3809.6201171875,1750,7.46737098693848
"2306",53584220203,"32","Kerala","04","3204",28,2,"Female","Rural",0,5,6557.34521484375,1900,7.54960918426514
"2309",54873130102,"23","Madhya Pradesh","24","2324",24,2,"Female","Rural",0,3,12307.60546875,666.666687011719,6.50229024887085
"2316",70884130202,"33","Tamil Nadu","05","3305",23,2,"Female","Urban",0,3,9393.08984375,1666.66662597656,7.41858100891113
"2319",71064120201,"06","Haryana","18","0618",28,1,"Male","Urban",1,4,2435.96508789062,1250,7.13089895248413
"2320",75605110204,"15","Mizoram","03","1503",18,2,"Female","Urban",0,5,327.230010986328,4000,8.29404926300049
"2323",50790110103,"21","Odisha","27","2127",18,1,"Male","Rural",1,4,972.47998046875,625,6.43775177001953
"2324",79874130102,"23","Madhya Pradesh","49","2349",29,2,"Female","Urban",0,4,7432.43017578125,1875,7.53636407852173
"2325",55334210103,"09","Uttar Pradesh","43","0943",18,1,"Male","Rural",0,4,46582.30078125,2000,7.60090255737305
"2326",56204220103,"06","Haryana","20","0620",25,1,"Male","Rural",0,5,6526.33984375,3000,8.00636768341064
"2327",77074130102,"28","Andhra Pradesh","08","2808",19,2,"Female","Urban",0,2,7923.90478515625,2750,7.91935634613037
"2328",57638220101,"09","Uttar Pradesh","24","0924",22,2,"Female","Rural",0,2,8712.2099609375,1000,6.90775537490845
"2329",57115120206,"23","Madhya Pradesh","29","2329",26,1,"Male","Rural",1,8,5937.06494140625,1875,7.53636407852173
"2332",72035110204,"33","Tamil Nadu","07","3307",19,2,"Female","Urban",0,6,2809,2060,7.6304612159729
"2334",57736110106,"09","Uttar Pradesh","18","0918",18,2,"Female","Rural",0,11,1027.4150390625,909.090881347656,6.81244516372681
"2341",71652140102,"36","Telangana","05","3605",28,1,"Male","Urban",1,4,20053.970703125,2000,7.60090255737305
"2343",75663110204,"06","Haryana","12","0612",16,1,"Male","Urban",0,4,4898.02978515625,6250,8.74033641815186
"2346",57141120204,"09","Uttar Pradesh","39","0939",17,1,"Male","Rural",0,8,2738.64990234375,806.25,6.69239377975464
"2352",53850230102,"19","West Bengal","12","1912",16,2,"Female","Rural",0,3,67228.6796875,3333.33325195312,8.11172771453857
"2354",79635110303,"20","Jharkhand","09","2009",30,1,"Male","Urban",0,3,1138.31005859375,5000,8.51719284057617
"2355",54358110104,"33","Tamil Nadu","04","3304",21,2,"Female","Rural",1,4,5038.83984375,2500,7.82404613494873
"2358",55237120304,"03","Punjab","19","0319",16,2,"Female","Rural",0,6,2073.59008789062,1930.83337402344,7.56570720672607
"2359",79800120104,"10","Bihar","04","1004",16,1,"Male","Urban",0,4,557.575012207031,500,6.21460819244385
"2360",54452210102,"23","Madhya Pradesh","30","2330",28,1,"Male","Rural",1,7,39850.8046875,1071.42858886719,6.97674798965454
"2362",55755220102,"13","Nagaland","07","1307",25,2,"Female","Rural",0,3,2168.75,2166.66674804688,7.68094539642334
"2368",51766120207,"12","Arunachal Pradesh","09","1209",22,1,"Male","Rural",0,9,91.5999984741211,833.333312988281,6.72543382644653
"2370",53777230102,"33","Tamil Nadu","04","3304",27,2,"Female","Rural",0,4,23137,1250,7.13089895248413
"2371",50995110105,"18","Assam","06","1806",25,2,"Female","Rural",0,5,2635.44995117188,1400,7.24422740936279
"2372",54187130202,"02","Himachal Pradesh","02","0202",27,2,"Female","Rural",0,5,1837.9599609375,500,6.21460819244385
"2373",51784110103,"29","Karnataka","23","2923",16,1,"Male","Rural",0,4,5528.9599609375,1500,7.31322050094604
"2374",52877220106,"09","Uttar Pradesh","24","0924",17,2,"Female","Rural",0,8,9780,1125,7.02553844451904
"2376",73419130103,"27","Maharashtra","21","2721",16,1,"Male","Urban",0,5,11494.625,2400,7.78322410583496
"2381",51811120204,"06","Haryana","11","0611",23,2,"Female","Rural",1,4,1488.11499023438,1500,7.31322050094604
"2383",75688130104,"19","West Bengal","11","1911",19,2,"Female","Urban",0,4,8202.8095703125,3000,8.00636768341064
"2389",52030110104,"22","Chhattisgarh","26","2226",19,1,"Male","Rural",0,5,7161.3251953125,1500,7.31322050094604
"2390",55172220210,"09","Uttar Pradesh","45","0945",18,1,"Male","Rural",1,10,6724.48486328125,1000,6.90775537490845
"2399",55831230102,"03","Punjab","11","0311",30,2,"Female","Rural",0,4,13703.7353515625,1250,7.13089895248413
"2404",59258120104,"24","Gujarat","12","2412",17,1,"Male","Rural",0,4,3040.794921875,2250,7.71868562698364
"2405",57333120405,"05","Uttrakhand","03","0503",22,1,"Male","Rural",0,5,2862.15502929688,2000,7.60090255737305
"2410",54576210101,"06","Haryana","11","0611",21,1,"Male","Rural",1,2,4688.0498046875,2000,7.60090255737305
"2412",55289110104,"09","Uttar Pradesh","46","0946",18,2,"Female","Rural",0,4,16102.7197265625,1250,7.13089895248413
"2413",72584130201,"33","Tamil Nadu","19","3319",26,2,"Female","Urban",1,1,9032.3447265625,8527,9.05099296569824
"2423",79194110108,"09","Uttar Pradesh","03","0903",18,2,"Female","Urban",0,9,5440.72998046875,1111.11108398438,7.01311588287354
"2424",57306110103,"21","Odisha","11","2111",29,1,"Male","Rural",1,6,7226.240234375,750,6.62007331848145
"2427",54492130101,"08","Rajasthan","10","0810",28,2,"Female","Rural",1,4,10933.2353515625,1500,7.31322050094604
"2431",70511110103,"33","Tamil Nadu","32","3332",21,1,"Male","Urban",1,5,4002.76489257812,3913.60009765625,8.27221298217773
"2434",71589110104,"19","West Bengal","11","1911",23,1,"Male","Urban",0,4,6863.25,5500,8.61250305175781
"2435",54587120103,"03","Punjab","14","0314",19,1,"Male","Rural",0,4,726.640014648438,2000,7.60090255737305
"2436",51323110111,"09","Uttar Pradesh","02","0902",17,2,"Female","Rural",0,12,5985.51513671875,791.666687011719,6.67414045333862
"2438",56435120101,"11","Sikkim","04","1104",30,1,"Male","Rural",1,4,60.8300018310547,2500,7.82404613494873
"2441",71173140204,"23","Madhya Pradesh","29","2329",19,2,"Female","Urban",0,7,6680.169921875,642.857116699219,6.46592235565186
"2451",74005110204,"33","Tamil Nadu","31","3331",17,1,"Male","Urban",0,5,4775.0400390625,2100,7.64969253540039
"2454",55453220103,"19","West Bengal","03","1903",22,1,"Male","Rural",0,4,13086.9599609375,1500,7.31322050094604
"2456",55177230102,"10","Bihar","06","1006",30,2,"Female","Rural",0,6,76049.6484375,1000,6.90775537490845
"2457",58397110104,"09","Uttar Pradesh","54","0954",16,2,"Female","Rural",0,6,4412.27490234375,1666.66662597656,7.41858100891113
"2462",72783140204,"06","Haryana","14","0614",30,2,"Female","Urban",0,8,1529.06994628906,1500,7.31322050094604
"2464",55837120103,"12","Arunachal Pradesh","11","1211",16,1,"Male","Rural",0,4,223.345001220703,5075,8.53208160400391
"2467",54850120101,"16","Tripura","02","1602",28,1,"Male","Rural",1,2,307.644989013672,2000,7.60090255737305
"2469",56797110102,"33","Tamil Nadu","29","3329",24,2,"Female","Rural",0,3,7361.5751953125,1333.33337402344,7.19543743133545
"2470",56295220203,"02","Himachal Pradesh","07","0207",16,2,"Female","Rural",0,4,2037.40002441406,2375,7.77275276184082
"2472",53992220201,"09","Uttar Pradesh","27","0927",22,2,"Female","Rural",0,1,18840.015625,2157,7.67647361755371
"2474",70073120210,"09","Uttar Pradesh","18","0918",24,1,"Male","Urban",0,16,548.760009765625,1156.25,7.05293750762939
"2477",72136110203,"14","Manipur","06","1406",25,2,"Female","Urban",0,4,703.734985351562,2750,7.91935634613037
"2483",56683130102,"18","Assam","20","1820",22,2,"Female","Rural",0,3,11984.9345703125,1690,7.4324836730957
"2487",79319110204,"22","Chhattisgarh","11","2211",27,2,"Female","Urban",0,5,9752.625,5000,8.51719284057617
"2490",56902230102,"28","Andhra Pradesh","11","2811",28,2,"Female","Rural",1,4,63891.9609375,1562.5,7.35404253005981
"2493",56489110104,"09","Uttar Pradesh","19","0919",16,2,"Female","Rural",0,7,4913.77490234375,1714.28576660156,7.44675159454346
"2498",55179220203,"33","Tamil Nadu","06","3306",25,1,"Male","Rural",1,3,6778.94482421875,3333.33325195312,8.11172771453857
"2500",57994220204,"27","Maharashtra","02","2702",25,1,"Male","Rural",1,4,14335.7099609375,2500,7.82404613494873
"2507",52638220103,"10","Bihar","02","1002",19,1,"Male","Rural",0,9,12226.3095703125,1111.11108398438,7.01311588287354
"2512",53895110103,"10","Bihar","01","1001",22,1,"Male","Rural",0,5,12525.14453125,1400,7.24422740936279
"2513",75834110204,"16","Tripura","02","1602",27,2,"Female","Urban",0,5,403.299987792969,5000,8.51719284057617
"2514",72212120102,"18","Assam","13","1813",30,2,"Female","Urban",0,4,1459.3349609375,1750,7.46737098693848
"2516",52705120103,"27","Maharashtra","26","2726",26,1,"Male","Rural",0,4,3177.2900390625,2000,7.60090255737305
"2519",51673130202,"22","Chhattisgarh","14","2214",28,2,"Female","Rural",1,6,21317.67578125,833.333312988281,6.72543382644653
"2524",54260220202,"36","Telangana","04","3604",30,2,"Female","Rural",0,2,8676.0751953125,2500,7.82404613494873
"2525",55191210116,"28","Andhra Pradesh","11","2811",25,1,"Male","Rural",1,21,10738.3095703125,1666.66662597656,7.41858100891113
"2526",53014220202,"10","Bihar","33","1033",20,2,"Female","Rural",0,3,14065.7998046875,1666.66662597656,7.41858100891113
"2528",79466120212,"08","Rajasthan","15","0815",20,2,"Female","Urban",0,13,2661.13500976562,2307.6923828125,7.74400329589844
"2530",72495130104,"09","Uttar Pradesh","24","0924",22,1,"Male","Urban",1,10,7129.10986328125,600,6.39692974090576
"2531",79590110202,"19","West Bengal","07","1907",27,1,"Male","Urban",1,7,305.269989013672,1428.57141113281,7.26443004608154
"2534",79562110103,"23","Madhya Pradesh","04","2304",30,1,"Male","Urban",1,8,7672.96484375,3750,8.22951126098633
"2536",57340230101,"09","Uttar Pradesh","39","0939",23,1,"Male","Rural",1,2,49965.1953125,1608,7.38274621963501
"2538",75038120104,"27","Maharashtra","25","2725",21,1,"Male","Urban",0,4,11195.3603515625,3750,8.22951126098633
"2540",72687110207,"09","Uttar Pradesh","23","0923",18,2,"Female","Urban",0,8,1586.31994628906,1000,6.90775537490845
"2541",59724110103,"10","Bihar","30","1030",18,1,"Male","Rural",0,3,11033.544921875,1000,6.90775537490845
"2543",52834120302,"21","Odisha","20","2120",30,2,"Female","Rural",0,5,1196.24499511719,600,6.39692974090576
"2544",58522130104,"01","Jammu & Kashmir","12","0112",30,2,"Female","Rural",0,8,3195.93994140625,947.5,6.85382699966431
"2546",79893240102,"08","Rajasthan","06","0806",24,2,"Female","Urban",0,4,38021.83984375,2450,7.80384349822998
"2548",55003130106,"16","Tripura","01","1601",20,2,"Female","Rural",0,6,1331.75,3000,8.00636768341064
"2555",53083230104,"29","Karnataka","01","2901",25,2,"Female","Rural",1,9,30539.46484375,844.444458007812,6.73867893218994
"2558",74313130102,"20","Jharkhand","06","2006",30,1,"Male","Urban",1,6,4937.7900390625,916.666687011719,6.82074403762817
"2560",79094130102,"17","Meghalaya","06","1706",24,2,"Female","Urban",1,3,5659.09521484375,3333.33325195312,8.11172771453857
"2561",70847110203,"22","Chhattisgarh","26","2226",16,2,"Female","Urban",0,3,1432.81494140625,2666.66674804688,7.88858461380005
"2563",53586120101,"33","Tamil Nadu","14","3314",30,1,"Male","Rural",1,5,3232.47998046875,1600,7.37775897979736
"2564",72568110103,"27","Maharashtra","25","2725",22,1,"Male","Urban",1,5,4637.97998046875,2000,7.60090255737305
"2566",51747220103,"10","Bihar","05","1005",16,1,"Male","Rural",0,5,31067.46484375,800,6.68461179733276
"2571",59012220103,"01","Jammu & Kashmir","07","0107",20,1,"Male","Rural",1,3,4331.02978515625,3000,8.00636768341064
"2574",52795220104,"23","Madhya Pradesh","22","2322",29,1,"Male","Rural",1,5,12915.3251953125,3200,8.0709056854248
"2575",72590130203,"34","Puducherry","02","3402",16,1,"Male","Urban",0,4,1328.92504882812,8000,8.98719692230225
"2580",55812120107,"10","Bihar","38","1038",18,2,"Female","Rural",0,8,7066.580078125,750,6.62007331848145
"2582",72254110203,"28","Andhra Pradesh","03","2803",18,2,"Female","Urban",0,3,21674.494140625,6666.66650390625,8.80487537384033
"2584",50953210104,"28","Andhra Pradesh","12","2812",19,2,"Female","Rural",1,6,16407.91015625,916.666687011719,6.82074403762817
"2587",70315120202,"27","Maharashtra","25","2725",29,2,"Female","Urban",0,3,5889.669921875,3333.33325195312,8.11172771453857
"2589",56725120107,"09","Uttar Pradesh","54","0954",23,2,"Female","Rural",0,11,5400.615234375,363.636352539062,5.89615440368652
"2590",50720110103,"33","Tamil Nadu","17","3317",29,2,"Female","Rural",0,5,8894.3154296875,1276,7.15148544311523
"2592",52036120203,"09","Uttar Pradesh","17","0917",26,1,"Male","Rural",1,5,5277.580078125,700,6.55108022689819
"2596",51114130102,"28","Andhra Pradesh","03","2803",29,2,"Female","Rural",1,5,56492.10546875,470,6.15273284912109
"2598",54595120102,"01","Jammu & Kashmir","22","0122",30,2,"Female","Rural",0,4,1097.64501953125,1500,7.31322050094604
"2599",55521220202,"36","Telangana","03","3603",18,1,"Male","Rural",1,3,8498.794921875,2000,7.60090255737305
"2600",58573120203,"01","Jammu & Kashmir","08","0108",16,1,"Male","Rural",1,6,234.345001220703,1342,7.20191621780396
"2602",73110110106,"21","Odisha","20","2120",28,1,"Male","Urban",1,7,4224.60498046875,3142.85717773438,8.05288791656494
"2606",70019110202,"09","Uttar Pradesh","10","0910",27,2,"Female","Urban",1,3,4210.6298828125,6666.66650390625,8.80487537384033
"2609",70077130104,"23","Madhya Pradesh","30","2330",17,2,"Female","Urban",0,5,1041.6650390625,1000,6.90775537490845
"2611",75008110203,"10","Bihar","13","1013",18,1,"Male","Urban",0,5,6374.27978515625,1500,7.31322050094604
"2612",70307130102,"29","Karnataka","18","2918",25,1,"Male","Urban",1,4,34336.7109375,4125,8.32482147216797
"2614",51643110103,"03","Punjab","07","0307",25,1,"Male","Rural",1,5,7361.71484375,4000,8.29404926300049
"2615",56475110107,"09","Uttar Pradesh","24","0924",25,2,"Female","Rural",0,8,1512.60498046875,2500,7.82404613494873
"2618",56021130103,"13","Nagaland","06","1306",30,1,"Male","Rural",1,10,1497.78002929688,500,6.21460819244385
"2621",52627110104,"27","Maharashtra","20","2720",25,2,"Female","Rural",0,7,13692.634765625,1142.85717773438,7.04128646850586
"2626",55595120103,"18","Assam","13","1813",29,2,"Female","Rural",1,11,1485.59497070312,727.272705078125,6.58930158615112
"2628",53177210103,"20","Jharkhand","16","2016",18,1,"Male","Rural",0,7,37458.99609375,1428.57141113281,7.26443004608154
"2629",70224110110,"09","Uttar Pradesh","03","0903",23,2,"Female","Urban",0,10,5974.39013671875,800,6.68461179733276
"2634",57448220104,"23","Madhya Pradesh","05","2305",22,2,"Female","Rural",0,6,19600,916.666687011719,6.82074403762817
"2636",55690210107,"29","Karnataka","02","2902",22,1,"Male","Rural",1,7,27275.134765625,1428.57141113281,7.26443004608154
"2637",56791110105,"18","Assam","06","1806",18,2,"Female","Rural",0,5,383.529998779297,1200,7.09007692337036
"2639",75649120104,"16","Tripura","01","1601",23,1,"Male","Urban",1,5,1093.74499511719,2020,7.61085271835327
"2641",79185110204,"33","Tamil Nadu","02","3302",19,2,"Female","Urban",0,4,15486.2900390625,7500,8.92265796661377
"2642",52825130102,"09","Uttar Pradesh","24","0924",25,2,"Female","Rural",0,3,17765.10546875,1500,7.31322050094604
"2643",74414120209,"29","Karnataka","03","2903",18,2,"Female","Urban",0,9,3531,944.444458007812,6.85059690475464
"2655",72984130103,"33","Tamil Nadu","04","3304",19,1,"Male","Urban",0,4,9406.150390625,2625,7.87283611297607
"2660",54789120401,"23","Madhya Pradesh","29","2329",24,1,"Male","Rural",1,3,6356.44482421875,333.333343505859,5.80914306640625
"2661",50722220204,"09","Uttar Pradesh","09","0909",23,1,"Male","Rural",1,4,11058.1904296875,2250,7.71868562698364
"2664",59052110103,"03","Punjab","04","0304",21,1,"Male","Rural",0,4,28685.96484375,5000,8.51719284057617
"2666",54095130201,"19","West Bengal","18","1918",28,1,"Male","Rural",1,3,37974.125,1000,6.90775537490845
"2674",79256130202,"10","Bihar","09","1009",22,2,"Female","Urban",0,2,7487.33984375,2000,7.60090255737305
"2676",51250130103,"06","Haryana","13","0613",21,1,"Male","Rural",1,4,679.380004882812,1875,7.53636407852173
"2679",55437130202,"02","Himachal Pradesh","02","0202",27,1,"Male","Rural",1,2,4025.82495117188,1500,7.31322050094604
"2682",51780230104,"10","Bihar","34","1034",22,2,"Female","Rural",0,5,15977.580078125,800,6.68461179733276
"2688",75930110203,"16","Tripura","01","1601",27,1,"Male","Urban",1,3,631.510009765625,16666.666015625,9.72116565704346
"2696",74139110104,"19","West Bengal","07","1907",20,1,"Male","Urban",1,6,1127.51501464844,2000,7.60090255737305
"2697",59495110104,"27","Maharashtra","25","2725",19,1,"Male","Rural",0,4,10839.89453125,2000,7.60090255737305
"2701",56151130401,"17","Meghalaya","02","1702",28,1,"Male","Rural",1,4,4733.009765625,1446.25,7.27672910690308
"2703",52269230104,"29","Karnataka","21","2921",24,2,"Female","Rural",0,5,50468.078125,1700,7.43838357925415
"2705",54738130204,"18","Assam","20","1820",23,2,"Female","Rural",0,4,21460.265625,2000,7.60090255737305
"2711",54449120207,"14","Manipur","02","1402",23,2,"Female","Rural",0,7,792.794982910156,1714.28576660156,7.44675159454346
"2713",54216220103,"21","Odisha","21","2121",19,1,"Male","Rural",0,5,3476.61499023438,400,5.99146461486816
"2719",54739120405,"09","Uttar Pradesh","58","0958",16,2,"Female","Rural",0,6,13294.51953125,1416.66662597656,7.25606203079224
"2720",56065220203,"06","Haryana","07","0607",23,1,"Male","Rural",1,4,14169.4853515625,2232.5,7.71087741851807
"2722",54461120204,"21","Odisha","18","2118",21,2,"Female","Rural",0,4,3926.830078125,1125,7.02553844451904
"2726",53924130104,"06","Haryana","06","0606",23,2,"Female","Rural",0,6,1251.4599609375,2000,7.60090255737305
"2728",52843120205,"20","Jharkhand","11","2011",16,1,"Male","Rural",0,6,1217.96496582031,1166.66662597656,7.06190586090088
"2735",73575220102,"23","Madhya Pradesh","27","2327",30,2,"Female","Urban",0,3,15408.5947265625,2666.66674804688,7.88858461380005
"2736",79575130205,"18","Assam","06","1806",18,2,"Female","Urban",0,5,1373.68994140625,1000,6.90775537490845
"2738",51423120102,"22","Chhattisgarh","06","2206",27,2,"Female","Rural",1,4,975.565002441406,1125,7.02553844451904
"2739",79522120303,"36","Telangana","05","3605",29,2,"Female","Urban",0,5,9440.025390625,1200,7.09007692337036
