"","psid","state","stateName","district","distcode","age","sex","female","rural","medwork","hhsize","comb_wt","mpce","logRsincpc"
"11940",75718140201,"28","Andhra Pradesh","13","2813",30,1,"Male","Urban",1,4,12472.7451171875,1700,7.43838357925415
"11941",54218230103,"23","Madhya Pradesh","13","2313",30,1,"Male","Rural",1,5,48296.32421875,1600,7.37775897979736
"11943",72585110203,"27","Maharashtra","26","2726",19,1,"Male","Urban",0,4,6791.6201171875,3000,8.00636768341064
"11944",59758120402,"19","West Bengal","13","1913",29,2,"Female","Rural",0,3,7338.60009765625,833.333312988281,6.72543382644653
"11948",55237110202,"03","Punjab","19","0319",26,1,"Male","Rural",0,2,16454.935546875,2740,7.9157133102417
"11949",59438110204,"24","Gujarat","10","2410",23,1,"Male","Rural",1,7,4116.64013671875,1928.57141113281,7.56453466415405
"11952",55293210104,"01","Jammu & Kashmir","13","0113",29,2,"Female","Rural",0,8,4383.93017578125,1806.25,7.49900817871094
"11953",51966110103,"24","Gujarat","01","2401",24,1,"Male","Rural",1,5,19521.224609375,1500,7.31322050094604
"11954",53185130101,"10","Bihar","02","1002",23,1,"Male","Rural",1,3,25076.4140625,1000,6.90775537490845
"11955",75942140201,"17","Meghalaya","06","1706",28,1,"Male","Urban",1,4,1197.94995117188,1500,7.31322050094604
"11956",71917110103,"09","Uttar Pradesh","34","0934",30,1,"Male","Urban",1,10,6633.23486328125,1150,7.0475172996521
"11958",53464210103,"20","Jharkhand","19","2019",21,1,"Male","Rural",1,5,15661.3154296875,400,5.99146461486816
"11959",71695140206,"09","Uttar Pradesh","02","0902",18,1,"Male","Urban",1,10,40904.30078125,1000,6.90775537490845
"11961",52265220103,"33","Tamil Nadu","27","3327",19,1,"Male","Rural",0,4,12921.5546875,1000,6.90775537490845
"11963",51438210103,"08","Rajasthan","15","0815",20,1,"Male","Rural",0,6,9863.775390625,2500,7.82404613494873
"11964",79358140105,"20","Jharkhand","19","2019",16,2,"Female","Urban",0,6,4923.5,1000,6.90775537490845
"11968",73134110205,"13","Nagaland","05","1305",28,1,"Male","Urban",1,6,966.159973144531,3333.33325195312,8.11172771453857
"11970",54267120204,"09","Uttar Pradesh","02","0902",17,2,"Female","Rural",0,6,1426.23999023438,2000,7.60090255737305
"11974",54378230102,"03","Punjab","09","0309",23,2,"Female","Rural",0,4,19331.724609375,1875,7.53636407852173
"11978",50992220203,"21","Odisha","13","2113",28,1,"Male","Rural",0,4,14510.5146484375,1000,6.90775537490845
"11979",57431220103,"21","Odisha","08","2108",26,1,"Male","Rural",1,4,7983.27490234375,1375,7.22620916366577
"11989",79412140203,"23","Madhya Pradesh","21","2321",23,1,"Male","Urban",1,6,23943.419921875,1333.33337402344,7.19543743133545
"11998",79466110202,"08","Rajasthan","15","0815",28,1,"Male","Urban",1,5,1140.48498535156,3000,8.00636768341064
"12001",57043220203,"19","West Bengal","17","1917",17,2,"Female","Rural",0,4,10980.775390625,1250,7.13089895248413
"12002",70460110104,"28","Andhra Pradesh","11","2811",16,1,"Male","Urban",0,4,3862.7548828125,3000,8.00636768341064
"12007",55226220105,"18","Assam","01","1801",18,2,"Female","Rural",0,5,8137.1298828125,1200,7.09007692337036
"12008",52623120202,"09","Uttar Pradesh","44","0944",16,1,"Male","Rural",0,4,5128.89501953125,1500,7.31322050094604
"12011",75710130203,"15","Mizoram","03","1503",20,1,"Male","Urban",0,4,301.410003662109,1500,7.31322050094604
"12012",54691120103,"32","Kerala","06","3206",24,2,"Female","Rural",1,3,3402.23510742188,2000,7.60090255737305
"12019",51470230103,"05","Uttrakhand","12","0512",26,2,"Female","Rural",0,5,21320.07421875,1350,7.20785999298096
"12020",53121230101,"28","Andhra Pradesh","11","2811",23,1,"Male","Rural",1,6,58790.1015625,1416.66662597656,7.25606203079224
"12025",79979120107,"14","Manipur","05","1405",30,2,"Female","Urban",0,11,784.114990234375,2727.27270507812,7.911057472229
"12026",52527110102,"09","Uttar Pradesh","41","0941",22,2,"Female","Rural",0,3,2902.7548828125,1166.66662597656,7.06190586090088
"12032",52178110103,"20","Jharkhand","02","2002",17,1,"Male","Rural",0,5,9413.9697265625,900,6.80239486694336
"12033",59752120204,"20","Jharkhand","08","2008",18,2,"Female","Rural",0,5,3557.4951171875,1100,7.00306558609009
"12050",73738110105,"01","Jammu & Kashmir","10","0110",17,1,"Male","Urban",1,7,689.364990234375,1807.42858886719,7.49966049194336
"12052",54152110103,"09","Uttar Pradesh","19","0919",24,1,"Male","Rural",1,11,5280.59521484375,909.090881347656,6.81244516372681
"12053",70552140101,"01","Jammu & Kashmir","07","0107",28,1,"Male","Urban",1,1,924.434997558594,6000,8.69951438903809
"12058",70472110104,"22","Chhattisgarh","11","2211",29,2,"Female","Urban",0,4,635.655029296875,7500,8.92265796661377
"12059",56352110103,"08","Rajasthan","15","0815",20,1,"Male","Rural",0,5,2411.5048828125,1000,6.90775537490845
